,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
26,0.121,https://api.spotify.com/v1/audio-analysis/60HDLY1Dh2Hy9wTVI3WPzO,0.558,259500,0.768,60HDLY1Dh2Hy9wTVI3WPzO,0.0626,2,0.128,-9.997,1,0.0343,81.909,4,https://api.spotify.com/v1/tracks/60HDLY1Dh2Hy9wTVI3WPzO,audio_features,spotify:track:60HDLY1Dh2Hy9wTVI3WPzO,0.429
27,0.0451,https://api.spotify.com/v1/audio-analysis/4DIRsQfLk2mfcrIOQNgAlm,0.806,242667,0.499,4DIRsQfLk2mfcrIOQNgAlm,0.000729,2,0.038,-9.524,1,0.0642,140.337,4,https://api.spotify.com/v1/tracks/4DIRsQfLk2mfcrIOQNgAlm,audio_features,spotify:track:4DIRsQfLk2mfcrIOQNgAlm,0.505
28,0.0152,https://api.spotify.com/v1/audio-analysis/4alHo6RGd0D3OUbTPExTHN,0.619,225627,0.579,4alHo6RGd0D3OUbTPExTHN,6.4e-05,4,0.0858,-9.307,1,0.0473,127.224,4,https://api.spotify.com/v1/tracks/4alHo6RGd0D3OUbTPExTHN,audio_features,spotify:track:4alHo6RGd0D3OUbTPExTHN,0.69
29,0.209,https://api.spotify.com/v1/audio-analysis/40XHORpTeMwJ2hwpKhpRqW,0.633,183960,0.714,40XHORpTeMwJ2hwpKhpRqW,0.0,4,0.104,-5.788,1,0.068,88.002,4,https://api.spotify.com/v1/tracks/40XHORpTeMwJ2hwpKhpRqW,audio_features,spotify:track:40XHORpTeMwJ2hwpKhpRqW,0.682
30,0.114,https://api.spotify.com/v1/audio-analysis/5y1ojCNp0g9IU7tmsrXPQk,0.51,216253,0.905,5y1ojCNp0g9IU7tmsrXPQk,3.01e-06,3,0.143,-2.913,1,0.0289,156.06,4,https://api.spotify.com/v1/tracks/5y1ojCNp0g9IU7tmsrXPQk,audio_features,spotify:track:5y1ojCNp0g9IU7tmsrXPQk,0.796
31,0.0057,https://api.spotify.com/v1/audio-analysis/7uoulrMQgFZFAIEpRPvewL,0.671,230907,0.777,7uoulrMQgFZFAIEpRPvewL,0.0011,2,0.0783,-4.322,1,0.046,99.98,4,https://api.spotify.com/v1/tracks/7uoulrMQgFZFAIEpRPvewL,audio_features,spotify:track:7uoulrMQgFZFAIEpRPvewL,0.289
32,0.0427,https://api.spotify.com/v1/audio-analysis/4ya82vEkIk1HJpuPDhESOC,0.742,177685,0.851,4ya82vEkIk1HJpuPDhESOC,0.00329,2,0.0562,-6.372,1,0.0564,104.132,4,https://api.spotify.com/v1/tracks/4ya82vEkIk1HJpuPDhESOC,audio_features,spotify:track:4ya82vEkIk1HJpuPDhESOC,0.966
33,0.358,https://api.spotify.com/v1/audio-analysis/2ZBalNGwjqdKJd29O76wBV,0.324,227627,0.84,2ZBalNGwjqdKJd29O76wBV,0.000239,1,0.367,-7.31,1,0.0489,136.136,4,https://api.spotify.com/v1/tracks/2ZBalNGwjqdKJd29O76wBV,audio_features,spotify:track:2ZBalNGwjqdKJd29O76wBV,0.576
34,0.0527,https://api.spotify.com/v1/audio-analysis/5JlH51YDYsGj2dyEJKKjcN,0.601,231920,0.806,5JlH51YDYsGj2dyEJKKjcN,0.0,7,0.185,-4.579,1,0.0345,89.87,4,https://api.spotify.com/v1/tracks/5JlH51YDYsGj2dyEJKKjcN,audio_features,spotify:track:5JlH51YDYsGj2dyEJKKjcN,0.711
35,0.0852,https://api.spotify.com/v1/audio-analysis/7o2CTH4ctstm8TNelqjb51,0.454,354520,0.91,7o2CTH4ctstm8TNelqjb51,0.0988,6,0.116,-7.766,1,0.0446,125.116,4,https://api.spotify.com/v1/tracks/7o2CTH4ctstm8TNelqjb51,audio_features,spotify:track:7o2CTH4ctstm8TNelqjb51,0.63
